ID,開始時刻,完了時刻,メール,名前,最終変更時刻,"【設問1】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 10万円 ｜ OS Android ｜ カメラ 標準
・製品B：価格 6万円 ｜ OS Android ｜ カメラ 高性能
・製品C：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【設問2】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 6万円 ｜ OS Android ｜ カメラ 高性能
・製品B：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品C：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 標準","【設問3】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品B：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品C：価格 10万円 ｜ OS Android ｜ カメラ 高性能","【設問4】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 6万円 ｜ OS Android ｜ カメラ 高性能
・製品B：価格 10万円 ｜ OS Android ｜ カメラ 高性能
・製品C：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 標準","【設問5】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 10万円 ｜ OS Android ｜ カメラ 標準
・製品B：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品C：価格 6万円 ｜ OS Android ｜ カメラ 標準","【設問6】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品B：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品C：価格 6万円 ｜ OS Android ｜ カメラ 標準",あなたの性別を教えてください。,現在使っているスマートフォンのOSはどちらですか？
1,2026-06-17 09:13:00,2026-06-17 09:18:33,anonymous,,,製品B,製品C,製品A,製品A,製品B,製品A,男性,Android
2,2026-06-17 09:16:00,2026-06-17 09:17:16,anonymous,,,製品B,製品A,製品C,製品B,製品C,製品A,男性,Apple (iOS)
3,2026-06-17 09:17:00,2026-06-17 09:21:01,anonymous,,,製品B,製品C,製品B,製品A,製品C,製品A,男性,Android
4,2026-06-17 09:31:00,2026-06-17 09:34:50,anonymous,,,製品B,製品B,製品A,製品A,製品A,製品C,男性,Apple (iOS)
5,2026-06-17 09:36:00,2026-06-17 09:37:03,anonymous,,,製品B,製品A,製品B,製品B,製品B,製品C,女性,Android
6,2026-06-17 09:38:00,2026-06-17 09:42:58,anonymous,,,製品B,製品A,製品B,製品C,製品C,製品A,女性,Android
7,2026-06-17 09:45:00,2026-06-17 09:51:35,anonymous,,,製品B,製品C,製品A,製品A,製品B,製品A,女性,Apple (iOS)
8,2026-06-17 09:49:00,2026-06-17 09:53:59,anonymous,,,製品A,製品A,製品A,製品B,製品A,製品A,女性,Android
9,2026-06-17 09:52:00,2026-06-17 09:53:12,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品A,男性,Android
10,2026-06-17 09:54:00,2026-06-17 09:58:06,anonymous,,,製品C,製品C,製品A,製品A,製品C,製品B,男性,Android
11,2026-06-17 09:56:00,2026-06-17 10:02:11,anonymous,,,製品C,製品B,製品B,製品A,製品B,製品A,女性,Apple (iOS)
12,2026-06-17 10:10:00,2026-06-17 10:15:09,anonymous,,,製品A,製品B,製品B,製品C,製品B,製品A,男性,Apple (iOS)
13,2026-06-17 10:29:00,2026-06-17 10:30:52,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品B,女性,Apple (iOS)
14,2026-06-17 10:34:00,2026-06-17 10:37:08,anonymous,,,製品C,製品B,製品A,製品A,製品C,製品A,男性,Apple (iOS)
15,2026-06-17 10:35:00,2026-06-17 10:36:17,anonymous,,,製品B,製品C,製品A,製品A,製品C,製品C,男性,Android
16,2026-06-17 10:42:00,2026-06-17 10:46:41,anonymous,,,製品B,製品B,製品B,製品C,製品C,製品A,男性,Android
17,2026-06-17 10:48:00,2026-06-17 10:53:26,anonymous,,,製品B,製品A,製品B,製品A,製品C,製品C,男性,Android
18,2026-06-17 10:59:00,2026-06-17 11:03:47,anonymous,,,製品C,製品B,製品A,製品A,製品B,製品A,男性,Apple (iOS)
19,2026-06-17 11:19:00,2026-06-17 11:21:42,anonymous,,,製品C,製品B,製品B,製品A,製品B,製品B,男性,Android
20,2026-06-17 11:20:00,2026-06-17 11:24:00,anonymous,,,製品C,製品A,製品B,製品A,製品B,製品C,女性,Apple (iOS)
21,2026-06-17 11:24:00,2026-06-17 11:26:27,anonymous,,,製品B,製品B,製品A,製品A,製品C,製品A,男性,Apple (iOS)
22,2026-06-17 11:27:00,2026-06-17 11:33:09,anonymous,,,製品B,製品A,製品B,製品B,製品B,製品C,女性,Apple (iOS)
23,2026-06-17 11:28:00,2026-06-17 11:31:13,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品A,男性,Android
24,2026-06-17 11:33:00,2026-06-17 11:38:37,anonymous,,,製品B,製品B,製品A,製品A,製品B,製品A,女性,Apple (iOS)
25,2026-06-17 11:41:00,2026-06-17 11:45:38,anonymous,,,製品B,製品B,製品B,製品A,製品C,製品C,男性,Android
26,2026-06-17 11:56:00,2026-06-17 11:59:09,anonymous,,,製品C,製品C,製品B,製品C,製品A,製品A,男性,Android
27,2026-06-17 12:02:00,2026-06-17 12:05:20,anonymous,,,製品B,製品B,製品B,製品B,製品C,製品A,その他・回答しない,Android
28,2026-06-17 12:11:00,2026-06-17 12:14:52,anonymous,,,製品C,製品A,製品A,製品A,製品C,製品A,男性,Apple (iOS)
29,2026-06-17 12:28:00,2026-06-17 12:33:36,anonymous,,,製品C,製品C,製品B,製品B,製品C,製品B,男性,Apple (iOS)
30,2026-06-17 12:30:00,2026-06-17 12:33:48,anonymous,,,製品C,製品A,製品B,製品A,製品C,製品A,女性,Android
31,2026-06-17 12:31:00,2026-06-17 12:32:24,anonymous,,,製品B,製品B,製品B,製品B,製品C,製品C,女性,Android
32,2026-06-17 12:48:00,2026-06-17 12:50:33,anonymous,,,製品C,製品B,製品A,製品A,製品C,製品A,男性,Apple (iOS)
33,2026-06-17 12:52:00,2026-06-17 12:54:20,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品C,男性,Apple (iOS)
34,2026-06-17 12:56:00,2026-06-17 12:58:16,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品A,女性,Android
35,2026-06-17 12:57:00,2026-06-17 13:01:49,anonymous,,,製品B,製品A,製品A,製品A,製品C,製品C,男性,Android
36,2026-06-17 13:02:00,2026-06-17 13:07:33,anonymous,,,製品B,製品A,製品A,製品A,製品C,製品C,男性,Android
37,2026-06-17 13:16:00,2026-06-17 13:21:26,anonymous,,,製品C,製品A,製品A,製品A,製品C,製品A,男性,Apple (iOS)
38,2026-06-17 13:27:00,2026-06-17 13:32:22,anonymous,,,製品B,製品B,製品A,製品B,製品B,製品A,女性,Apple (iOS)
39,2026-06-17 13:29:00,2026-06-17 13:32:46,anonymous,,,製品C,製品B,製品B,製品A,製品B,製品A,男性,Android
40,2026-06-17 13:47:00,2026-06-17 13:49:32,anonymous,,,製品B,製品B,製品A,製品B,製品C,製品A,男性,Android
41,2026-06-17 13:49:00,2026-06-17 13:52:17,anonymous,,,製品B,製品B,製品A,製品C,製品C,製品C,男性,Apple (iOS)
42,2026-06-17 13:54:00,2026-06-17 13:55:35,anonymous,,,製品C,製品B,製品B,製品B,製品B,製品C,男性,Android
43,2026-06-17 13:59:00,2026-06-17 14:00:21,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品C,男性,Apple (iOS)
44,2026-06-17 14:00:00,2026-06-17 14:01:06,anonymous,,,製品A,製品A,製品B,製品B,製品B,製品A,男性,Apple (iOS)
45,2026-06-17 14:17:00,2026-06-17 14:21:46,anonymous,,,製品B,製品A,製品B,製品B,製品C,製品C,女性,Apple (iOS)
46,2026-06-17 14:19:00,2026-06-17 14:20:07,anonymous,,,製品B,製品A,製品B,製品A,製品C,製品C,女性,Apple (iOS)
47,2026-06-17 14:32:00,2026-06-17 14:37:57,anonymous,,,製品B,製品C,製品A,製品A,製品C,製品A,男性,Android
48,2026-06-17 14:44:00,2026-06-17 14:47:08,anonymous,,,製品B,製品B,製品A,製品A,製品B,製品B,男性,Android
49,2026-06-17 14:55:00,2026-06-17 14:59:25,anonymous,,,製品A,製品A,製品B,製品A,製品C,製品C,男性,Apple (iOS)
50,2026-06-17 15:05:00,2026-06-17 15:07:12,anonymous,,,製品A,製品A,製品B,製品C,製品C,製品C,女性,Android
51,2026-06-17 15:16:00,2026-06-17 15:18:56,anonymous,,,製品C,製品C,製品B,製品A,製品C,製品A,男性,Android
52,2026-06-17 15:16:00,2026-06-17 15:17:06,anonymous,,,製品B,製品B,製品A,製品A,製品C,製品A,女性,Android
53,2026-06-17 15:22:00,2026-06-17 15:27:30,anonymous,,,製品B,製品A,製品B,製品A,製品C,製品A,女性,Apple (iOS)
54,2026-06-17 15:27:00,2026-06-17 15:33:15,anonymous,,,製品B,製品C,製品A,製品A,製品B,製品A,男性,Apple (iOS)
55,2026-06-17 15:32:00,2026-06-17 15:33:22,anonymous,,,製品B,製品A,製品A,製品A,製品C,製品B,男性,Apple (iOS)
56,2026-06-17 15:36:00,2026-06-17 15:39:04,anonymous,,,製品B,製品A,製品A,製品C,製品B,製品B,男性,Apple (iOS)
57,2026-06-17 15:37:00,2026-06-17 15:38:27,anonymous,,,製品B,製品C,製品B,製品A,製品C,製品A,男性,Apple (iOS)
58,2026-06-17 15:44:00,2026-06-17 15:47:37,anonymous,,,製品A,製品A,製品A,製品C,製品A,製品A,女性,Apple (iOS)
59,2026-06-17 15:48:00,2026-06-17 15:54:02,anonymous,,,製品C,製品A,製品B,製品A,製品C,製品C,女性,Apple (iOS)
60,2026-06-17 16:08:00,2026-06-17 16:10:12,anonymous,,,製品B,製品B,製品B,製品C,製品C,製品A,女性,Android
61,2026-06-17 16:17:00,2026-06-17 16:20:10,anonymous,,,製品C,製品B,製品B,製品C,製品B,製品A,女性,Apple (iOS)
62,2026-06-17 16:21:00,2026-06-17 16:22:44,anonymous,,,製品C,製品A,製品A,製品C,製品C,製品C,男性,Apple (iOS)
63,2026-06-17 16:40:00,2026-06-17 16:42:30,anonymous,,,製品B,製品A,製品A,製品A,製品B,製品C,女性,Android
64,2026-06-17 16:42:00,2026-06-17 16:44:23,anonymous,,,製品B,製品B,製品A,製品B,製品B,製品A,男性,Apple (iOS)
65,2026-06-17 17:01:00,2026-06-17 17:06:32,anonymous,,,製品B,製品C,製品B,製品A,製品C,製品A,男性,Apple (iOS)
66,2026-06-17 17:01:00,2026-06-17 17:04:31,anonymous,,,製品B,製品B,製品B,製品C,製品B,製品A,男性,Android
67,2026-06-17 17:06:00,2026-06-17 17:09:04,anonymous,,,製品B,製品B,製品B,製品C,製品C,製品C,男性,Apple (iOS)
68,2026-06-17 17:07:00,2026-06-17 17:09:58,anonymous,,,製品B,製品A,製品B,製品A,製品C,製品C,男性,Android
69,2026-06-17 17:10:00,2026-06-17 17:12:47,anonymous,,,製品C,製品C,製品B,製品A,製品B,製品A,女性,Android
70,2026-06-17 17:11:00,2026-06-17 17:13:06,anonymous,,,製品B,製品B,製品B,製品B,製品B,製品B,女性,Apple (iOS)
71,2026-06-17 17:17:00,2026-06-17 17:22:57,anonymous,,,製品B,製品B,製品A,製品C,製品C,製品C,女性,Apple (iOS)
72,2026-06-17 17:28:00,2026-06-17 17:29:14,anonymous,,,製品B,製品A,製品A,製品A,製品C,製品A,男性,Apple (iOS)
73,2026-06-17 18:23:00,2026-06-17 18:26:52,anonymous,,,製品C,製品A,製品B,製品A,製品A,製品A,男性,Android
74,2026-06-17 18:24:00,2026-06-17 18:28:25,anonymous,,,製品B,製品B,製品B,製品C,製品B,製品B,男性,Apple (iOS)
75,2026-06-17 18:38:00,2026-06-17 18:42:05,anonymous,,,製品C,製品C,製品A,製品A,製品C,製品A,女性,Apple (iOS)
76,2026-06-17 18:43:00,2026-06-17 18:46:49,anonymous,,,製品C,製品C,製品A,製品C,製品C,製品A,男性,Apple (iOS)
77,2026-06-17 18:59:00,2026-06-17 19:01:47,anonymous,,,製品B,製品B,製品A,製品A,製品A,製品B,男性,Android
78,2026-06-17 19:00:00,2026-06-17 19:05:27,anonymous,,,製品B,製品A,製品A,製品B,製品B,製品A,男性,Apple (iOS)
79,2026-06-17 19:04:00,2026-06-17 19:09:17,anonymous,,,製品B,製品B,製品A,製品A,製品C,製品A,女性,Android
80,2026-06-17 19:07:00,2026-06-17 19:13:30,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品A,男性,Apple (iOS)
81,2026-06-17 19:10:00,2026-06-17 19:14:16,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品B,女性,Apple (iOS)
82,2026-06-17 19:12:00,2026-06-17 19:17:50,anonymous,,,製品B,製品B,製品B,製品B,製品B,製品A,男性,Apple (iOS)
83,2026-06-17 19:20:00,2026-06-17 19:21:03,anonymous,,,製品C,製品B,製品A,製品B,製品A,製品C,男性,Android
84,2026-06-17 19:33:00,2026-06-17 19:34:47,anonymous,,,製品B,製品A,製品B,製品B,製品B,製品A,男性,Apple (iOS)
85,2026-06-17 19:38:00,2026-06-17 19:42:08,anonymous,,,製品C,製品B,製品B,製品B,製品B,製品B,男性,Android
86,2026-06-17 19:58:00,2026-06-17 19:59:03,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品B,男性,Android
87,2026-06-17 20:05:00,2026-06-17 20:08:53,anonymous,,,製品B,製品B,製品B,製品C,製品B,製品A,女性,Apple (iOS)
88,2026-06-17 20:08:00,2026-06-17 20:12:10,anonymous,,,製品C,製品B,製品B,製品A,製品B,製品A,男性,Android
89,2026-06-17 20:27:00,2026-06-17 20:29:21,anonymous,,,製品B,製品A,製品A,製品A,製品A,製品C,男性,Android
90,2026-06-17 20:47:00,2026-06-17 20:49:09,anonymous,,,製品B,製品B,製品B,製品A,製品C,製品A,男性,Apple (iOS)
91,2026-06-17 20:51:00,2026-06-17 20:53:43,anonymous,,,製品B,製品B,製品B,製品A,製品C,製品A,男性,Apple (iOS)
92,2026-06-17 21:00:00,2026-06-17 21:05:21,anonymous,,,製品C,製品A,製品C,製品A,製品C,製品B,女性,Android
93,2026-06-17 21:05:00,2026-06-17 21:11:29,anonymous,,,製品C,製品B,製品C,製品B,製品C,製品B,女性,Android
94,2026-06-17 21:14:00,2026-06-17 21:20:29,anonymous,,,製品B,製品B,製品A,製品C,製品B,製品C,女性,Android
95,2026-06-17 21:23:00,2026-06-17 21:29:00,anonymous,,,製品B,製品B,製品C,製品A,製品C,製品A,女性,Apple (iOS)
96,2026-06-17 21:36:00,2026-06-17 21:38:18,anonymous,,,製品C,製品B,製品C,製品C,製品A,製品C,女性,Android
97,2026-06-17 21:36:00,2026-06-17 21:40:31,anonymous,,,製品B,製品B,製品B,製品A,製品B,製品A,男性,Apple (iOS)
98,2026-06-17 21:51:00,2026-06-17 21:54:20,anonymous,,,製品B,製品B,製品C,製品A,製品C,製品C,男性,Android
99,2026-06-17 22:00:00,2026-06-17 22:01:31,anonymous,,,製品C,製品B,製品B,製品A,製品C,製品C,男性,Android
100,2026-06-17 22:16:00,2026-06-17 22:20:10,anonymous,,,製品A,製品B,製品B,製品B,製品B,製品B,男性,Android
