ID,開始時刻,完了時刻,メール,名前,最終変更時刻,"【設問1】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品B：価格 6万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【設問2】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 8万円 ｜ OS Android ｜ カメラ 高性能
・製品B：価格 6万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【設問3】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品B：価格 10万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 標準","【設問4】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品B：価格 8万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 10万円 ｜ OS Android ｜ カメラ 標準","【設問5】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 8万円 ｜ OS Android ｜ カメラ 高性能
・製品B：価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品C：価格 10万円 ｜ OS Android ｜ カメラ 高性能","【設問6】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品B：価格 10万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 6万円 ｜ OS Android ｜ カメラ 高性能",あなたの性別を教えてください。,現在使っているスマートフォンのOSはどちらですか？
1,2026-06-18 09:01:00,2026-06-18 09:04:09,anonymous,,,製品C,製品C,製品B,製品A,製品B,製品A,男性,Android
2,2026-06-18 09:16:00,2026-06-18 09:21:28,anonymous,,,製品C,製品C,製品A,製品A,製品B,製品A,男性,Apple (iOS)
3,2026-06-18 09:19:00,2026-06-18 09:21:56,anonymous,,,製品C,製品C,製品C,製品B,製品A,製品C,男性,Android
4,2026-06-18 09:24:00,2026-06-18 09:29:47,anonymous,,,製品B,製品B,製品C,製品A,製品C,製品C,男性,Apple (iOS)
5,2026-06-18 09:37:00,2026-06-18 09:38:32,anonymous,,,製品A,製品A,製品C,製品A,製品A,製品A,女性,Android
6,2026-06-18 09:51:00,2026-06-18 09:52:28,anonymous,,,製品A,製品C,製品C,製品A,製品A,製品A,女性,Android
7,2026-06-18 09:57:00,2026-06-18 10:02:20,anonymous,,,製品A,製品C,製品C,製品A,製品A,製品C,女性,Apple (iOS)
8,2026-06-18 09:57:00,2026-06-18 09:59:01,anonymous,,,製品C,製品A,製品C,製品B,製品B,製品A,女性,Android
9,2026-06-18 10:00:00,2026-06-18 10:02:40,anonymous,,,製品A,製品A,製品A,製品A,製品B,製品A,男性,Android
10,2026-06-18 10:05:00,2026-06-18 10:10:18,anonymous,,,製品A,製品C,製品A,製品A,製品B,製品A,男性,Android
11,2026-06-18 10:15:00,2026-06-18 10:17:53,anonymous,,,製品C,製品C,製品A,製品A,製品B,製品C,女性,Apple (iOS)
12,2026-06-18 10:24:00,2026-06-18 10:26:21,anonymous,,,製品A,製品C,製品C,製品A,製品B,製品C,男性,Apple (iOS)
13,2026-06-18 10:40:00,2026-06-18 10:41:43,anonymous,,,製品A,製品C,製品C,製品A,製品A,製品C,女性,Apple (iOS)
14,2026-06-18 10:54:00,2026-06-18 10:57:01,anonymous,,,製品B,製品A,製品C,製品A,製品A,製品A,男性,Apple (iOS)
15,2026-06-18 11:01:00,2026-06-18 11:07:07,anonymous,,,製品A,製品A,製品A,製品B,製品B,製品A,男性,Android
16,2026-06-18 11:22:00,2026-06-18 11:23:30,anonymous,,,製品A,製品C,製品C,製品A,製品C,製品C,男性,Android
17,2026-06-18 11:30:00,2026-06-18 11:35:01,anonymous,,,製品B,製品A,製品C,製品A,製品C,製品C,男性,Android
18,2026-06-18 11:36:00,2026-06-18 11:39:25,anonymous,,,製品C,製品A,製品C,製品A,製品A,製品A,男性,Apple (iOS)
19,2026-06-18 11:45:00,2026-06-18 11:51:08,anonymous,,,製品C,製品A,製品B,製品A,製品B,製品C,男性,Android
20,2026-06-18 11:53:00,2026-06-18 11:58:21,anonymous,,,製品B,製品C,製品A,製品C,製品C,製品C,女性,Apple (iOS)
21,2026-06-18 11:55:00,2026-06-18 11:56:16,anonymous,,,製品A,製品B,製品C,製品A,製品B,製品C,男性,Apple (iOS)
22,2026-06-18 11:56:00,2026-06-18 11:57:19,anonymous,,,製品A,製品A,製品A,製品A,製品B,製品A,女性,Apple (iOS)
23,2026-06-18 11:56:00,2026-06-18 11:58:17,anonymous,,,製品A,製品C,製品C,製品A,製品A,製品A,男性,Android
24,2026-06-18 12:01:00,2026-06-18 12:07:26,anonymous,,,製品B,製品B,製品C,製品B,製品A,製品A,女性,Apple (iOS)
25,2026-06-18 12:16:00,2026-06-18 12:19:36,anonymous,,,製品A,製品A,製品C,製品A,製品A,製品C,男性,Android
26,2026-06-18 12:20:00,2026-06-18 12:22:36,anonymous,,,製品A,製品C,製品C,製品A,製品A,製品A,男性,Android
27,2026-06-18 12:27:00,2026-06-18 12:32:49,anonymous,,,製品B,製品C,製品A,製品A,製品B,製品A,その他・回答しない,Android
28,2026-06-18 12:28:00,2026-06-18 12:32:01,anonymous,,,製品C,製品C,製品C,製品A,製品B,製品A,男性,Apple (iOS)
29,2026-06-18 12:34:00,2026-06-18 12:39:04,anonymous,,,製品B,製品B,製品A,製品A,製品B,製品C,男性,Apple (iOS)
30,2026-06-18 12:37:00,2026-06-18 12:41:15,anonymous,,,製品A,製品B,製品C,製品A,製品B,製品A,女性,Android
31,2026-06-18 12:38:00,2026-06-18 12:42:00,anonymous,,,製品C,製品A,製品C,製品A,製品A,製品A,女性,Android
32,2026-06-18 13:06:00,2026-06-18 13:09:48,anonymous,,,製品A,製品A,製品A,製品A,製品B,製品A,男性,Apple (iOS)
33,2026-06-18 13:14:00,2026-06-18 13:19:27,anonymous,,,製品A,製品B,製品C,製品A,製品B,製品A,男性,Apple (iOS)
34,2026-06-18 13:14:00,2026-06-18 13:18:44,anonymous,,,製品A,製品C,製品A,製品A,製品B,製品A,女性,Android
35,2026-06-18 13:15:00,2026-06-18 13:20:16,anonymous,,,製品C,製品C,製品C,製品A,製品C,製品A,男性,Android
36,2026-06-18 13:19:00,2026-06-18 13:24:53,anonymous,,,製品B,製品C,製品C,製品A,製品B,製品B,男性,Android
37,2026-06-18 13:27:00,2026-06-18 13:30:29,anonymous,,,製品A,製品B,製品C,製品B,製品A,製品B,男性,Apple (iOS)
38,2026-06-18 13:29:00,2026-06-18 13:33:05,anonymous,,,製品A,製品B,製品C,製品B,製品C,製品A,女性,Apple (iOS)
39,2026-06-18 13:33:00,2026-06-18 13:37:13,anonymous,,,製品B,製品C,製品A,製品A,製品B,製品C,男性,Android
40,2026-06-18 13:42:00,2026-06-18 13:44:31,anonymous,,,製品C,製品C,製品C,製品A,製品C,製品C,男性,Android
41,2026-06-18 13:44:00,2026-06-18 13:49:51,anonymous,,,製品A,製品A,製品C,製品A,製品B,製品A,男性,Apple (iOS)
42,2026-06-18 13:51:00,2026-06-18 13:53:07,anonymous,,,製品A,製品B,製品C,製品B,製品A,製品A,男性,Android
