ID,開始時刻,完了時刻,メール,名前,最終変更時刻,"【製品案1】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 6万円 ｜ OS Android ｜ カメラ 標準","【製品案2】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【製品案3】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 10万円 ｜ OS Android ｜ カメラ 高性能","【製品案4】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 標準",あなたの性別を教えてください。,現在使っているスマートフォンのOSはどちらですか？
1,2026-06-15 09:02:00,2026-06-15 09:05:26,anonymous,,,5,9,4,5,男性,Android
2,2026-06-15 09:08:00,2026-06-15 09:12:21,anonymous,,,4,10,3,3,男性,Apple (iOS)
3,2026-06-15 09:13:00,2026-06-15 09:17:33,anonymous,,,5,9,4,3,男性,Android
4,2026-06-15 09:20:00,2026-06-15 09:22:53,anonymous,,,5,8,6,3,男性,Apple (iOS)
5,2026-06-15 09:33:00,2026-06-15 09:34:52,anonymous,,,5,9,3,4,女性,Android
6,2026-06-15 09:39:00,2026-06-15 09:45:38,anonymous,,,6,9,4,6,女性,Android
7,2026-06-15 09:42:00,2026-06-15 09:45:35,anonymous,,,5,8,5,4,女性,Apple (iOS)
8,2026-06-15 09:51:00,2026-06-15 09:53:35,anonymous,,,5,10,3,3,女性,Android
9,2026-06-15 10:06:00,2026-06-15 10:11:11,anonymous,,,5,7,3,3,男性,Android
10,2026-06-15 10:14:00,2026-06-15 10:18:38,anonymous,,,5,10,4,4,男性,Android
11,2026-06-15 10:14:00,2026-06-15 10:18:31,anonymous,,,6,8,4,3,女性,Apple (iOS)
12,2026-06-15 10:30:00,2026-06-15 10:34:33,anonymous,,,7,7,4,3,男性,Apple (iOS)
13,2026-06-15 10:45:00,2026-06-15 10:51:11,anonymous,,,6,8,4,6,女性,Apple (iOS)
14,2026-06-15 10:55:00,2026-06-15 10:59:43,anonymous,,,6,8,3,5,男性,Apple (iOS)
15,2026-06-15 11:08:00,2026-06-15 11:09:35,anonymous,,,5,9,4,6,男性,Android
16,2026-06-15 11:15:00,2026-06-15 11:19:31,anonymous,,,4,6,4,4,男性,Android
17,2026-06-15 11:18:00,2026-06-15 11:23:53,anonymous,,,5,8,3,3,男性,Android
18,2026-06-15 11:22:00,2026-06-15 11:25:36,anonymous,,,7,10,5,4,男性,Apple (iOS)
19,2026-06-15 11:43:00,2026-06-15 11:48:57,anonymous,,,6,10,5,5,男性,Android
20,2026-06-15 11:44:00,2026-06-15 11:46:22,anonymous,,,4,10,4,3,女性,Apple (iOS)
21,2026-06-15 11:46:00,2026-06-15 11:49:15,anonymous,,,5,9,4,5,男性,Apple (iOS)
22,2026-06-15 11:58:00,2026-06-15 12:00:00,anonymous,,,6,8,5,3,女性,Apple (iOS)
23,2026-06-15 12:06:00,2026-06-15 12:10:44,anonymous,,,6,7,5,2,男性,Android
24,2026-06-15 12:15:00,2026-06-15 12:20:13,anonymous,,,6,6,4,3,女性,Apple (iOS)
25,2026-06-15 12:23:00,2026-06-15 12:26:57,anonymous,,,6,6,3,3,男性,Android
26,2026-06-15 12:26:00,2026-06-15 12:30:38,anonymous,,,5,8,3,7,男性,Android
27,2026-06-15 12:39:00,2026-06-15 12:42:40,anonymous,,,3,8,3,2,その他・回答しない,Android
28,2026-06-15 12:55:00,2026-06-15 12:59:29,anonymous,,,4,7,3,2,男性,Apple (iOS)
29,2026-06-15 12:56:00,2026-06-15 12:59:28,anonymous,,,5,9,3,3,男性,Apple (iOS)
30,2026-06-15 13:07:00,2026-06-15 13:09:45,anonymous,,,4,8,2,2,女性,Android
31,2026-06-15 13:08:00,2026-06-15 13:10:48,anonymous,,,6,7,4,4,女性,Android
32,2026-06-15 13:20:00,2026-06-15 13:21:51,anonymous,,,4,9,3,3,男性,Apple (iOS)
33,2026-06-15 13:27:00,2026-06-15 13:30:54,anonymous,,,6,9,5,5,男性,Apple (iOS)
34,2026-06-15 13:38:00,2026-06-15 13:40:17,anonymous,,,5,9,5,5,女性,Android
35,2026-06-15 14:06:00,2026-06-15 14:08:34,anonymous,,,7,8,4,4,男性,Android
36,2026-06-15 14:20:00,2026-06-15 14:26:35,anonymous,,,6,9,5,5,男性,Android
37,2026-06-15 14:21:00,2026-06-15 14:22:25,anonymous,,,6,9,4,3,男性,Apple (iOS)
38,2026-06-15 14:27:00,2026-06-15 14:30:38,anonymous,,,5,7,3,4,女性,Apple (iOS)
39,2026-06-15 14:35:00,2026-06-15 14:38:35,anonymous,,,6,9,1,5,男性,Android
40,2026-06-15 14:37:00,2026-06-15 14:42:25,anonymous,,,7,8,4,3,男性,Android
41,2026-06-15 14:39:00,2026-06-15 14:43:04,anonymous,,,5,7,3,3,男性,Apple (iOS)
42,2026-06-15 14:45:00,2026-06-15 14:48:29,anonymous,,,5,7,3,3,男性,Android
43,2026-06-15 14:47:00,2026-06-15 14:50:00,anonymous,,,6,8,5,5,男性,Apple (iOS)
44,2026-06-15 14:52:00,2026-06-15 14:57:58,anonymous,,,5,8,3,6,男性,Apple (iOS)
45,2026-06-15 14:59:00,2026-06-15 15:04:39,anonymous,,,5,9,4,2,女性,Apple (iOS)
46,2026-06-15 14:59:00,2026-06-15 15:00:52,anonymous,,,7,6,2,1,女性,Apple (iOS)
47,2026-06-15 15:15:00,2026-06-15 15:16:43,anonymous,,,5,7,3,4,男性,Android
48,2026-06-15 15:16:00,2026-06-15 15:21:59,anonymous,,,7,9,5,6,男性,Android
49,2026-06-15 15:17:00,2026-06-15 15:18:04,anonymous,,,4,8,4,5,男性,Apple (iOS)
50,2026-06-15 15:21:00,2026-06-15 15:23:17,anonymous,,,5,9,6,7,女性,Android
51,2026-06-15 15:33:00,2026-06-15 15:38:21,anonymous,,,5,9,4,6,男性,Android
52,2026-06-15 15:45:00,2026-06-15 15:49:16,anonymous,,,7,9,4,5,女性,Android
53,2026-06-15 15:47:00,2026-06-15 15:52:01,anonymous,,,5,6,2,2,女性,Apple (iOS)
54,2026-06-15 16:06:00,2026-06-15 16:08:29,anonymous,,,4,9,3,5,男性,Apple (iOS)
55,2026-06-15 16:10:00,2026-06-15 16:15:45,anonymous,,,5,8,4,4,男性,Apple (iOS)
56,2026-06-15 16:12:00,2026-06-15 16:14:26,anonymous,,,4,9,3,5,男性,Apple (iOS)
57,2026-06-15 16:17:00,2026-06-15 16:19:52,anonymous,,,5,7,2,5,男性,Apple (iOS)
58,2026-06-15 16:22:00,2026-06-15 16:25:13,anonymous,,,7,7,3,3,女性,Apple (iOS)
59,2026-06-15 16:34:00,2026-06-15 16:37:23,anonymous,,,4,6,3,4,女性,Apple (iOS)
60,2026-06-15 16:35:00,2026-06-15 16:36:13,anonymous,,,6,9,3,3,女性,Android
61,2026-06-15 16:44:00,2026-06-15 16:46:08,anonymous,,,6,10,3,5,女性,Apple (iOS)
62,2026-06-15 16:54:00,2026-06-15 16:55:49,anonymous,,,4,6,4,2,男性,Apple (iOS)
63,2026-06-15 17:05:00,2026-06-15 17:10:36,anonymous,,,6,9,5,4,女性,Android
64,2026-06-15 17:06:00,2026-06-15 17:11:47,anonymous,,,5,7,4,3,男性,Apple (iOS)
65,2026-06-15 17:09:00,2026-06-15 17:10:00,anonymous,,,5,6,4,3,男性,Apple (iOS)
66,2026-06-15 17:18:00,2026-06-15 17:19:40,anonymous,,,5,9,6,7,男性,Android
67,2026-06-15 17:40:00,2026-06-15 17:42:30,anonymous,,,7,10,5,4,男性,Apple (iOS)
68,2026-06-15 17:52:00,2026-06-15 17:56:37,anonymous,,,5,5,2,1,男性,Android
69,2026-06-15 17:54:00,2026-06-15 17:57:42,anonymous,,,6,8,6,5,女性,Android
70,2026-06-15 18:20:00,2026-06-15 18:24:53,anonymous,,,4,9,4,5,女性,Apple (iOS)
71,2026-06-15 18:24:00,2026-06-15 18:29:30,anonymous,,,5,8,2,5,女性,Apple (iOS)
72,2026-06-15 18:28:00,2026-06-15 18:33:36,anonymous,,,6,6,5,3,男性,Apple (iOS)
73,2026-06-15 18:29:00,2026-06-15 18:30:05,anonymous,,,8,10,6,6,男性,Android
74,2026-06-15 18:35:00,2026-06-15 18:41:39,anonymous,,,6,8,5,3,男性,Apple (iOS)
75,2026-06-15 18:47:00,2026-06-15 18:51:31,anonymous,,,6,7,1,3,女性,Apple (iOS)
76,2026-06-15 18:50:00,2026-06-15 18:52:25,anonymous,,,5,8,5,4,男性,Apple (iOS)
77,2026-06-15 18:54:00,2026-06-15 18:59:22,anonymous,,,6,10,5,5,男性,Android
78,2026-06-15 19:10:00,2026-06-15 19:14:52,anonymous,,,4,10,4,6,男性,Apple (iOS)
79,2026-06-15 19:22:00,2026-06-15 19:28:39,anonymous,,,6,8,4,6,女性,Android
80,2026-06-15 19:23:00,2026-06-15 19:28:23,anonymous,,,5,8,4,3,男性,Apple (iOS)
81,2026-06-15 19:47:00,2026-06-15 19:50:14,anonymous,,,4,7,4,3,女性,Apple (iOS)
82,2026-06-15 19:48:00,2026-06-15 19:50:54,anonymous,,,7,9,3,5,男性,Apple (iOS)
83,2026-06-15 19:50:00,2026-06-15 19:55:31,anonymous,,,5,5,2,2,男性,Android
84,2026-06-15 19:59:00,2026-06-15 20:03:20,anonymous,,,6,7,4,4,男性,Apple (iOS)
85,2026-06-15 20:12:00,2026-06-15 20:14:00,anonymous,,,5,10,4,5,男性,Android
86,2026-06-15 20:19:00,2026-06-15 20:25:33,anonymous,,,7,10,4,6,男性,Android
87,2026-06-15 20:24:00,2026-06-15 20:27:10,anonymous,,,4,9,4,4,女性,Apple (iOS)
88,2026-06-15 20:35:00,2026-06-15 20:41:38,anonymous,,,6,9,2,4,男性,Android
89,2026-06-15 20:37:00,2026-06-15 20:42:01,anonymous,,,6,9,5,3,男性,Android
90,2026-06-15 20:48:00,2026-06-15 20:52:13,anonymous,,,7,10,6,6,男性,Apple (iOS)
91,2026-06-15 20:54:00,2026-06-15 21:00:10,anonymous,,,5,7,4,4,男性,Apple (iOS)
92,2026-06-15 20:58:00,2026-06-15 21:01:58,anonymous,,,6,8,2,3,女性,Android
93,2026-06-15 21:14:00,2026-06-15 21:17:16,anonymous,,,7,7,6,5,女性,Android
94,2026-06-15 21:18:00,2026-06-15 21:20:25,anonymous,,,4,8,3,3,女性,Android
95,2026-06-15 21:23:00,2026-06-15 21:28:01,anonymous,,,6,6,2,3,女性,Apple (iOS)
96,2026-06-15 21:26:00,2026-06-15 21:30:16,anonymous,,,7,8,4,4,女性,Android
97,2026-06-15 21:32:00,2026-06-15 21:36:01,anonymous,,,4,7,2,4,男性,Apple (iOS)
98,2026-06-15 21:58:00,2026-06-15 21:59:28,anonymous,,,8,8,6,5,男性,Android
99,2026-06-15 22:06:00,2026-06-15 22:11:55,anonymous,,,5,8,2,4,男性,Android
100,2026-06-15 22:19:00,2026-06-15 22:24:03,anonymous,,,5,8,4,3,男性,Android
