ID,開始時刻,完了時刻,メール,名前,最終変更時刻,"【製品案1】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 6万円 ｜ OS Android ｜ カメラ 標準","【製品案2】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【製品案3】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 8万円 ｜ OS Android ｜ カメラ 標準","【製品案4】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【製品案5】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 10万円 ｜ OS Android ｜ カメラ 高性能","【製品案6】この製品をどれくらい買いたいと思いますか？（1〜10 の整数でお答えください）
・価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 標準",あなたの性別を教えてください。,現在使っているスマートフォンのOSはどちらですか？
1,2026-06-16 09:26:00,2026-06-16 09:30:10,anonymous,,,7,10,5,8,4,6,男性,Android
2,2026-06-16 09:27:00,2026-06-16 09:31:23,anonymous,,,5,9,5,7,3,4,男性,Apple (iOS)
3,2026-06-16 09:36:00,2026-06-16 09:38:16,anonymous,,,5,9,5,8,3,2,男性,Android
4,2026-06-16 09:55:00,2026-06-16 09:59:48,anonymous,,,7,6,5,7,6,3,男性,Apple (iOS)
5,2026-06-16 09:56:00,2026-06-16 10:01:49,anonymous,,,7,8,5,7,3,4,女性,Android
6,2026-06-16 10:15:00,2026-06-16 10:20:49,anonymous,,,6,9,5,9,4,6,女性,Android
7,2026-06-16 10:23:00,2026-06-16 10:26:38,anonymous,,,5,9,4,7,4,3,女性,Apple (iOS)
8,2026-06-16 10:24:00,2026-06-16 10:25:31,anonymous,,,6,8,5,7,3,5,女性,Android
9,2026-06-16 10:48:00,2026-06-16 10:51:07,anonymous,,,5,8,4,7,4,2,男性,Android
10,2026-06-16 10:57:00,2026-06-16 11:00:29,anonymous,,,6,10,6,9,5,4,男性,Android
11,2026-06-16 10:59:00,2026-06-16 11:00:24,anonymous,,,7,8,4,7,6,3,女性,Apple (iOS)
12,2026-06-16 11:06:00,2026-06-16 11:12:29,anonymous,,,7,8,6,7,4,1,男性,Apple (iOS)
13,2026-06-16 11:20:00,2026-06-16 11:22:50,anonymous,,,6,10,5,9,5,3,女性,Apple (iOS)
14,2026-06-16 11:22:00,2026-06-16 11:26:47,anonymous,,,6,8,5,8,4,4,男性,Apple (iOS)
15,2026-06-16 11:26:00,2026-06-16 11:31:06,anonymous,,,6,7,5,8,4,5,男性,Android
16,2026-06-16 11:27:00,2026-06-16 11:33:22,anonymous,,,5,7,4,7,2,3,男性,Android
17,2026-06-16 11:42:00,2026-06-16 11:45:24,anonymous,,,6,8,4,6,3,3,男性,Android
18,2026-06-16 11:49:00,2026-06-16 11:51:00,anonymous,,,7,10,5,8,4,4,男性,Apple (iOS)
19,2026-06-16 12:04:00,2026-06-16 12:10:28,anonymous,,,7,10,6,9,6,6,男性,Android
20,2026-06-16 12:15:00,2026-06-16 12:19:14,anonymous,,,6,8,3,8,5,2,女性,Apple (iOS)
21,2026-06-16 12:16:00,2026-06-16 12:17:18,anonymous,,,7,10,4,7,1,4,男性,Apple (iOS)
22,2026-06-16 12:27:00,2026-06-16 12:29:50,anonymous,,,5,9,6,7,3,3,女性,Apple (iOS)
23,2026-06-16 12:40:00,2026-06-16 12:42:01,anonymous,,,7,7,6,6,5,3,男性,Android
