タイムスタンプ,【回答者属性１】あなたの性別を教えてください。,【回答者属性２】現在使っているスマートフォンのOSはどちらですか？,"【設問1】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 10万円 ｜ OS Android ｜ カメラ 標準
・製品B：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品C：価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【設問2】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品B：価格 8万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 高性能","【設問3】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品B：価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 高性能
・製品C：価格 8万円 ｜ OS Android ｜ カメラ 高性能","【設問4】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 6万円 ｜ OS Apple (iOS) ｜ カメラ 標準
・製品B：価格 6万円 ｜ OS Android ｜ カメラ 高性能
・製品C：価格 10万円 ｜ OS Android ｜ カメラ 標準","【設問5】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 10万円 ｜ OS Android ｜ カメラ 高性能
・製品B：価格 6万円 ｜ OS Android ｜ カメラ 標準
・製品C：価格 8万円 ｜ OS Apple (iOS) ｜ カメラ 標準","【設問6】次の3つのうち、最も購入したいスマートフォンはどれですか？

・製品A：価格 8万円 ｜ OS Android ｜ カメラ 高性能
・製品B：価格 6万円 ｜ OS Android ｜ カメラ 高性能
・製品C：価格 10万円 ｜ OS Apple (iOS) ｜ カメラ 標準"
2026/06/16 09:12:00,男性,Apple (iOS),製品B,製品C,製品B,製品B,製品C,製品A
2026/06/16 09:33:00,女性,Android,製品C,製品A,製品A,製品A,製品B,製品A
2026/06/16 09:54:00,女性,Apple (iOS),製品C,製品B,製品B,製品A,製品C,製品A
2026/06/16 10:05:00,女性,Apple (iOS),製品C,製品B,製品A,製品A,製品B,製品B
2026/06/16 10:33:00,男性,Android,製品B,製品C,製品A,製品A,製品B,製品B
2026/06/16 11:54:00,女性,Android,製品B,製品C,製品C,製品B,製品A,製品B
2026/06/16 11:57:00,女性,Apple (iOS),製品C,製品C,製品B,製品A,製品C,製品B
2026/06/16 12:04:00,男性,Android,製品B,製品C,製品C,製品A,製品C,製品B
2026/06/16 12:20:00,女性,Android,製品C,製品C,製品B,製品B,製品B,製品B
2026/06/16 13:30:00,男性,Apple (iOS),製品C,製品A,製品B,製品C,製品B,製品B
2026/06/16 13:31:00,男性,Android,製品C,製品C,製品B,製品B,製品C,製品A
2026/06/16 13:31:00,男性,Android,製品C,製品C,製品A,製品A,製品C,製品B
2026/06/16 13:44:00,男性,Apple (iOS),製品C,製品C,製品C,製品B,製品C,製品B
2026/06/16 13:56:00,男性,Android,製品B,製品C,製品C,製品A,製品B,製品B
2026/06/16 14:19:00,男性,Apple (iOS),製品B,製品C,製品C,製品A,製品C,製品A
2026/06/16 14:34:00,男性,Apple (iOS),製品C,製品C,製品B,製品B,製品A,製品A
2026/06/16 15:32:00,男性,Android,製品C,製品B,製品B,製品A,製品B,製品B
2026/06/16 15:32:00,女性,Apple (iOS),製品B,製品C,製品B,製品A,製品C,製品C
2026/06/16 15:34:00,女性,Android,製品B,製品C,製品B,製品A,製品C,製品B
2026/06/16 15:46:00,男性,Android,製品C,製品C,製品B,製品B,製品B,製品B
2026/06/16 15:47:00,女性,Android,製品B,製品B,製品C,製品B,製品B,製品A
2026/06/16 16:51:00,女性,Android,製品B,製品C,製品B,製品B,製品C,製品C
2026/06/16 16:51:00,男性,Android,製品C,製品A,製品C,製品B,製品A,製品B
2026/06/16 17:01:00,女性,Apple (iOS),製品B,製品C,製品B,製品A,製品B,製品B
2026/06/16 17:44:00,男性,Android,製品C,製品C,製品B,製品A,製品C,製品B
2026/06/16 18:12:00,女性,Android,製品B,製品C,製品C,製品B,製品A,製品B
2026/06/16 18:13:00,男性,Apple (iOS),製品B,製品C,製品B,製品A,製品C,製品B
2026/06/16 18:23:00,女性,その他・わからない,製品B,製品A,製品C,製品B,製品A,製品A
2026/06/16 18:42:00,女性,Android,製品C,製品B,製品C,製品B,製品C,製品C
2026/06/16 19:02:00,女性,Apple (iOS),製品B,製品C,製品B,製品A,製品C,製品B
2026/06/16 19:13:00,男性,Android,製品A,製品C,製品C,製品B,製品A,製品B
2026/06/16 19:24:00,男性,Android,製品B,製品C,製品C,製品B,製品C,製品A
2026/06/16 19:25:00,女性,Android,製品B,製品C,製品B,製品A,製品C,製品B
2026/06/16 20:05:00,男性,Apple (iOS),製品C,製品C,製品B,製品A,製品B,製品B
2026/06/16 20:36:00,男性,Android,製品B,製品C,製品B,製品B,製品B,製品B
2026/06/16 21:37:00,男性,Apple (iOS),製品B,製品C,製品C,製品A,製品A,製品C
2026/06/16 21:50:00,男性,Apple (iOS),製品B,製品B,製品B,製品B,製品B,製品C
2026/06/16 21:56:00,男性,Apple (iOS),製品B,製品C,製品B,製品A,製品C,製品C
2026/06/16 22:02:00,女性,Android,製品C,製品C,製品A,製品B,製品B,製品C
2026/06/16 22:04:00,その他・回答しない,Android,製品B,製品C,製品A,製品C,製品B,製品A
